0 0 1 0 16 	110.6097687	0.0380000	14
0 0 1 0 17 	124.4333447	0.0380012	11
0 0 1 0 18 	139.0696537	0.0380024	12
0 0 1 0 19 	154.5186227	0.0380036	8
0 0 1 0 20 	170.7801757	0.0380048	12
0 0 1 0 21 	187.8542327	0.0380060	13
0 0 1 0 22 	205.7407097	0.0380072	16
0 0 1 0 23 	224.4395197	0.0380084	12
0 0 1 0 26 	285.4105730	0.0430091	10
0 0 1 0 27 	307.3577520	0.0430084	10
0 0 1 0 40 	666.5107159	0.0862091	5
2 0 1 0 39 	1796.7028159	0.0918091	1
0 0 1 0 34 	483.7128729	0.0802091	9
2 0 1 0 33 	1618.4746029	0.0858091	1
0 0 1 0 33 	456.0859825	0.0690084	7
2 0 1 0 32 	1591.6133025	0.0746084	1
2 0 1 0 26 	1447.4997520	0.0486084	1
0 0 1 0 25 	264.2745895	0.0400084	9
2 0 1 0 24 	1405.9642296	0.0436084	2
2 0 1 0 22 	1367.6831262	0.0436060	2
2 0 1 0 21 	1349.7632577	0.0436048	2
2 0 1 0 20 	1332.6569427	0.0436060	1
2 0 1 0 19 	1316.3647947	0.0436024	2
2 0 1 0 18 	1300.8864937	0.0436012	2
0 0 1 0 15 	97.5993464	0.0600012	10
2 0 1 0 14 	1247.1148641	0.0656012	2
0 0 1 0 12 	63.4439957	0.0130000	10
2 0 1 0 11 	1215.3364030	0.0166000	2
0 0 1 0 11 	53.6866087	0.0660012	10
2 0 1 0 10 	1206.3746087	0.0716012	1
0 0 1 0 8 	29.2860387	0.0090000	11
2 0 1 0 7 	1184.3699887	0.0146000	1
0 0 1 0 7 	22.7820034	0.0700012	15
2 0 1 0 6 	1178.6680634	0.0756012	1
0 0 1 0 6 	17.0861532	0.0070000	7
2 0 1 0 5 	1173.7758032	0.0126000	1
0 0 1 0 1 	0.8206612	0.0852012	10
2 0 1 0 2 	1163.9972612	0.0908012	1
0 0 1 0 3 	4.8875319	0.0832012	11
2 0 1 0 4 	1169.7024019	0.0888012	1
2 0 1 0 8 	1190.8918234	0.0756012	1
2 0 1 0 9 	1198.2234087	0.0146000	1
0 0 1 0 10 	44.7389403	0.0110000	11
0 0 1 0 13 	74.0166218	0.0630012	12
2 0 1 0 17 	1286.2222087	0.0436000	1
2 0 1 0 23 	1386.4167097	0.0436072	1
0 0 1 0 24 	243.9502138	0.0400072	11
2 0 1 0 25 	1426.3240338	0.0456072	1
0 0 1 0 46 	878.4633456	0.1102091	5
2 0 1 0 47 	2079.7326256	0.1158091	1
0 0 1 0 48 	955.5883456	0.1112091	4
2 0 1 0 49 	2158.5868356	0.1168091	1
2 0 2 0 45 	2102.4951556	0.1158091	1
2 0 2 0 39 	1896.2140259	0.0918091	1
0 0 1 0 39 	634.0150144	0.0842084	7
2 0 2 0 38 	1864.6532644	0.0898084	1
0 0 1 0 38 	602.3375529	0.0842091	8
2 0 2 0 37 	1833.9077629	0.0898091	1
0 0 1 0 36 	541.4067282	0.0822091	7
2 0 2 0 35 	1774.8319882	0.0878091	1
0 0 1 0 35 	512.1521125	0.0802084	7
2 0 2 0 34 	1746.5004425	0.0746084	2
2 0 2 0 33 	1718.9811729	0.0858091	1
0 0 1 0 32 	429.2680709	0.0782091	5
2 0 2 0 31 	1666.3674909	0.0838091	1
0 0 1 0 30 	378.0689209	0.0562091	6
2 0 2 0 29 	1616.9872181	0.0506091	2
0 0 1 0 28 	330.1158053	0.0450091	9
2 0 2 0 27 	1570.8409253	0.0506091	1
2 0 2 0 26 	1548.9816120	0.0486084	1
2 0 2 0 25 	1527.9301230	0.0486091	1
2 0 2 0 24 	1507.6866695	0.0456084	1
2 0 2 0 23 	1488.2519617	0.0436072	2
2 0 2 0 22 	1469.6276697	0.0436084	1
2 0 2 0 21 	1451.8120897	0.0436072	1
2 0 2 0 20 	1434.8058027	0.0436060	1
2 0 2 0 19 	1418.6087557	0.0436048	1
2 0 2 0 17 	1388.6429337	0.0436024	1
2 0 2 0 16 	1374.8742947	0.0436012	1
2 0 2 0 15 	1361.9152082	0.0406000	2
2 0 2 0 14 	1349.7661391	0.0656012	2
0 0 1 0 14 	85.4012677	0.0350000	10
2 0 2 0 13 	1338.4262677	0.0406000	1
2 0 2 0 11 	1318.1756880	0.0166000	2
2 0 2 0 6 	1281.7254234	0.0756012	1
2 0 2 0 5 	1276.8620332	0.0126000	1
0 0 1 0 5 	12.2075860	0.0720012	9
2 0 2 0 4 	1272.8127840	0.0776012	2
0 0 1 0 4 	8.1396835	0.0050000	11
2 0 2 0 3 	1269.5712235	0.0106000	1
2 0 2 0 2 	1267.1420315	0.0888012	2
0 0 1 0 0 	0.0000000	0.0000000	3
2 0 2 0 1 	1265.5144000	0.0056000	1
2 0 2 0 36 	1803.9607125	0.0858084	1
2 0 2 0 47 	2177.7064456	0.1158091	1
4 0 1 0 47 	3129.1794256	0.1222091	1
0 0 1 0 44 	804.5744456	0.1092091	6
4 0 1 0 43 	2982.6141458	0.1192091	2
0 0 1 0 42 	733.9231059	0.1082091	5
4 0 1 0 41 	2914.1484259	0.0972091	2
4 0 1 0 38 	2817.4693947	0.0932084	2
4 0 1 0 37 	2786.8558105	0.0932091	2
0 0 1 0 37 	571.4623750	0.0822084	7
4 0 1 0 36 	2757.0373838	0.0912084	2
4 0 1 0 34 	2699.8221425	0.0912084	1
4 0 1 0 32 	2645.8243488	0.0780084	2
4 0 1 0 31 	2620.0310109	0.0672091	2
0 0 1 0 31 	403.2640651	0.0670084	7
4 0 1 0 30 	2595.0448086	0.0760084	2
4 0 1 0 29 	2570.8611731	0.0560091	2
0 0 1 0 29 	353.6875320	0.0650084	5
4 0 1 0 28 	2547.4846920	0.0540084	2
4 0 1 0 27 	2524.9117591	0.0540091	2
4 0 1 0 25 	2482.1820234	0.0510072	2
4 0 1 0 21 	2406.3882597	0.0490072	1
4 0 1 0 19 	2373.3258647	0.0490024	2
4 0 1 0 18 	2358.0035487	0.0490012	2
4 0 1 0 17 	2343.4871562	0.0490000	2
4 0 1 0 16 	2329.7770756	0.0490012	2
4 0 1 0 15 	2316.8728432	0.0460000	2
4 0 1 0 14 	2304.7752391	0.0710012	2
4 0 1 0 13 	2293.4831917	0.0240000	2
4 0 1 0 12 	2282.9987553	0.0740012	2
4 0 1 0 11 	2273.3185480	0.0220000	2
4 0 1 0 10 	2264.4476887	0.0770012	1
4 0 1 0 9 	2256.3797203	0.0220000	1
4 0 1 0 6 	2237.0216647	0.0810012	2
4 0 1 0 4 	2228.1477240	0.0830012	2
4 0 1 0 3 	2224.9188317	0.0140000	2
4 0 1 0 2 	2222.5009112	0.0962012	1
0 0 1 0 2 	2.4444000	0.0030000	7
4 0 1 0 5 	2232.1798435	0.0160000	1
4 0 1 0 7 	2242.6662832	0.0180000	1
4 0 1 0 8 	2249.1220334	0.0810012	1
4 0 1 0 20 	2389.4541727	0.0490036	1
4 0 1 0 22 	2424.1281027	0.0490060	1
4 0 1 0 24 	2462.0248197	0.0490084	1
4 0 1 0 26 	2503.1442095	0.0510084	1
4 0 1 0 35 	2728.0267829	0.0912091	1
4 0 1 0 39 	2848.8946329	0.0952091	1
4 0 1 0 40 	2881.1156944	0.0952084	1
4 0 1 0 45 	3054.2917656	0.1202091	1
4 0 1 0 49 	3207.2757856	0.1222091	1
4 0 4 0 27 	2829.7291053	0.0750091	1
4 0 4 0 25 	2786.9691730	0.0730091	1
4 0 4 0 23 	2747.4287138	0.0700072	1
4 0 4 0 22 	2728.8693197	0.0680084	1
4 0 4 0 21 	2711.1171097	0.0680072	1
4 0 4 0 20 	2694.1724277	0.0680036	2
4 0 4 0 17 	2648.1718612	0.0680000	2
4 0 4 0 16 	2634.4539456	0.0680012	2
4 0 4 0 13 	2598.1327817	0.0430000	2
4 0 4 0 12 	2587.6388153	0.0930012	2
4 0 4 0 11 	2577.9543957	0.0430000	1
4 0 4 0 10 	2569.0777816	0.0960012	2
0 0 1 0 9 	36.6083544	0.0680012	7
4 0 4 0 8 	2553.7405789	0.0980012	2
4 0 4 0 7 	2547.2794960	0.0370000	2
4 0 4 0 6 	2541.6344447	0.1000012	2
4 0 4 0 4 	2532.7536860	0.1020012	1
4 0 4 0 2 	2527.1008465	0.1132012	2
4 0 4 0 0 	2524.6735612	0.1152012	1
4 0 4 0 1 	2525.4810000	0.0300000	1
4 0 4 0 5 	2536.7868835	0.0350000	1
4 0 4 0 14 	2609.4335218	0.0930012	1
4 0 4 0 19 	2678.0336537	0.0680024	1
6 0 3 0 47 	4362.0699356	0.1107091	2
6 0 3 0 45 	4287.4918356	0.1097091	2
6 0 3 0 43 	4216.0965858	0.1087091	2
10 0 8 0 37 	6401.7902069	0.0852091	1
10 0 8 0 36 	6372.1794280	0.0832084	1
10 0 8 0 35 	6343.3748640	0.0812091	2
10 0 8 0 34 	6315.3615785	0.0812084	1
10 0 8 0 33 	6288.1496389	0.0792091	2
10 0 8 0 32 	6261.7366545	0.0700084	1
10 0 8 0 31 	6236.1222269	0.0792091	1
10 0 8 0 30 	6211.3082921	0.0680084	1
10 0 8 0 29 	6187.2909049	0.0572091	1
