0 0 1 0 27 	447.82358747	0.06296270	62
0 0 1 0 28 	469.96203316	0.06296337	62
0 0 1 0 0 	148.85777499	0.06000000	18
4 0 3 0 1 	2561.15320016	0.03000000	5
0 0 1 0 1 	149.64843055	0.06356030	39
4 0 3 0 2 	2562.73163996	0.09344030	4
0 0 1 0 3 	153.60423736	0.06344030	53
4 0 3 0 4 	2568.25602454	0.09332030	4
0 0 1 0 4 	156.76845113	0.06012000	54
4 0 3 0 5 	2572.20174417	0.09012000	4
0 0 1 0 5 	160.72448772	0.06332030	48
4 0 3 0 6 	2576.93719779	0.09320030	4
0 0 1 0 6 	165.47091921	0.06024000	54
4 0 3 0 7 	2582.46128233	0.09024000	4
0 0 1 0 7 	171.00914086	0.06320030	66
4 0 3 0 8 	2588.77473333	0.09308030	4
0 0 1 0 8 	177.33767044	0.06036000	55
4 0 3 0 9 	2595.87687823	0.09036000	4
0 0 1 0 9 	184.45799581	0.06308030	56
4 0 3 0 10 	2603.76814823	0.09296030	4
0 0 1 0 10 	192.36850402	0.06048000	58
4 0 3 0 11 	2612.44819226	0.09048000	4
0 0 1 0 11 	201.07078666	0.06296030	65
4 0 3 0 12 	2621.91798809	0.06285030	5
0 0 1 0 12 	210.56334150	0.06248000	63
4 0 3 0 13 	2632.17590043	0.09248000	4
0 0 1 0 14 	231.92157836	0.06260000	67
4 0 3 0 15 	2655.05793005	0.09260000	4
0 0 1 0 15 	243.78679246	0.06272030	63
4 0 3 0 16 	2667.68240325	0.09272030	4
0 0 1 0 18 	284.12630887	0.06272060	64
4 0 3 0 19 	2710.28568323	0.09272060	4
0 0 1 0 19 	299.15391490	0.06272100	64
4 0 3 0 20 	2726.06361790	0.09272100	4
0 0 1 0 21 	331.58034990	0.06272180	60
4 0 3 0 22 	2759.98373188	0.07272180	3
0 0 1 0 25 	405.91597691	0.06284270	65
4 0 3 0 26 	2837.27908747	0.06297270	5
4 0 3 0 28 	2880.65217878	0.06309270	5
4 0 3 0 29 	2903.52013015	0.09296337	4
0 0 1 0 30 	516.60889214	0.06496337	54
4 0 3 0 31 	2951.61702507	0.09496337	4
0 0 1 0 31 	541.11474973	0.06320270	58
4 0 3 0 32 	2976.84432324	0.07320270	3
0 0 1 0 33 	592.49635440	0.06332270	59
4 0 3 0 34 	3029.66080065	0.07332270	3
0 0 1 0 34 	619.37185886	0.06520337	59
4 0 3 0 35 	3057.24985291	0.07520337	3
0 0 1 0 35 	647.03398628	0.06344270	58
4 0 3 0 36 	3085.62302128	0.07344270	3
0 0 1 0 36 	675.48715156	0.06532337	46
4 0 3 0 37 	3114.78442487	0.07532337	3
0 0 1 0 37 	704.72671478	0.06356270	55
4 0 3 0 38 	3144.72928873	0.07356270	3
0 0 1 0 40 	797.18031040	0.06556337	42
4 0 3 0 41 	3239.28143238	0.07556337	3
0 0 1 0 42 	862.75562016	0.06568337	29
4 0 3 0 43 	3306.24106467	0.07568337	2
0 0 1 0 43 	896.72370783	0.06392270	36
4 0 3 0 44 	3340.89740561	0.07392270	2
0 0 1 0 44 	931.48342526	0.06768337	28
4 0 3 0 45 	3376.34161213	0.07768337	2
0 0 1 0 45 	967.02482558	0.06404270	32
4 0 3 0 46 	3412.56441058	0.07404270	2
0 0 1 0 48 	1078.38331970	0.06792337	20
4 0 3 0 49 	3525.94883520	0.07792337	2
0 0 1 0 49 	1117.07266352	0.06428270	22
4 0 3 0 50 	3565.30683452	0.07428270	2
0 0 1 0 51 	1196.81631353	0.06440270	15
4 0 3 0 52 	3646.37790353	0.07440270	1
0 0 1 0 52 	1237.87010627	0.06816337	16
4 0 3 0 53 	3688.09058827	0.07816337	2
0 0 1 0 53 	1279.70452599	0.06452270	13
4 0 3 0 54 	3730.57927099	0.07452270	2
0 0 1 0 56 	1409.93164016	0.06840337	12
4 0 3 0 57 	3862.75184016	0.07840337	1
0 0 1 0 58 	1500.67376016	0.06852337	10
4 0 3 0 59 	3954.77176016	0.07852337	1
0 0 1 0 59 	0.00000000	0.00000000	6
4 0 3 0 60 	2454.73150000	0.01000000	1
4 0 3 0 0 	2560.36286155	0.09356030	2
0 0 1 0 2 	151.23033835	0.06000000	49
4 0 3 0 3 	2565.09858113	0.09012000	2
0 0 1 0 13 	220.84718809	0.06284030	56
4 0 3 0 14 	2643.22279246	0.06273030	3
0 0 1 0 16 	256.44268075	0.06272000	64
0 0 1 0 17 	269.88920805	0.06272030	61
4 0 3 0 17 	2681.09505087	0.09272060	2
4 0 3 0 18 	2695.29631490	0.06273100	4
0 0 1 0 20 	314.97195360	0.06272140	65
0 0 1 0 22 	348.97902328	0.06272220	73
4 0 3 0 21 	2742.62962328	0.06273220	4
0 0 1 0 23 	367.16789066	0.06272270	57
0 0 1 0 24 	386.14690674	0.06284220	58
4 0 3 0 23 	2778.12590674	0.06285220	4
4 0 3 0 24 	2797.05597691	0.06285270	4
0 0 1 0 26 	426.47479730	0.06296220	60
4 0 3 0 25 	2816.77359730	0.06297220	4
4 0 3 0 27 	2858.57165171	0.09296220	3
0 0 1 0 29 	492.89007878	0.06308270	52
4 0 3 0 30 	2927.17425673	0.09320270	2
0 0 1 0 32 	566.41210399	0.06508337	59
4 0 3 0 33 	3002.86048586	0.09520337	2
0 0 1 0 38 	734.75705785	0.06544337	36
0 0 1 0 39 	765.57338929	0.06368270	41
4 0 3 0 39 	3175.46208040	0.07556337	1
0 0 1 0 41 	829.57276629	0.06380270	39
4 0 3 0 40 	3206.97805929	0.09380270	2
4 0 3 0 42 	3272.36749783	0.09392270	2
0 0 1 0 46 	1003.35935899	0.06780337	27
4 0 3 0 47 	3449.57717570	0.09792337	2
4 0 4 0 1 	2640.83019667	0.09000000	4
4 0 4 0 2 	2642.40171098	0.07356030	3
4 0 4 0 3 	2644.75866524	0.09000000	4
4 0 4 0 4 	2647.90270104	0.09332030	4
4 0 4 0 5 	2651.83147548	0.07024000	3
4 0 4 0 6 	2656.54644346	0.09320030	3
4 0 4 0 7 	2662.04707221	0.09024000	2
4 0 4 0 8 	2668.33418426	0.07308030	3
4 0 4 0 9 	2675.40583173	0.09036000	4
4 0 4 0 10 	2683.26431423	0.09296030	4
4 0 4 0 11 	2691.90780526	0.09048000	4
4 0 4 0 12 	2701.33742260	0.07284030	3
4 0 4 0 13 	2711.55218250	0.09248000	2
4 0 4 0 14 	2722.55277828	0.09272030	4
4 0 4 0 15 	2734.33899955	0.09260000	4
4 0 4 0 16 	2746.91047125	0.09272030	4
4 0 4 0 17 	2760.26733931	0.09272000	4
4 0 4 0 18 	2774.40969898	0.09272030	4
4 0 4 0 19 	2789.33692487	0.09272060	2
4 0 4 0 20 	2805.05043240	0.09272100	4
4 0 4 0 21 	2821.54884794	0.09272140	4
4 0 4 0 22 	2838.83189228	0.09272180	4
4 0 4 0 23 	2856.90035071	0.07284220	3
4 0 4 0 24 	2875.75381185	0.07272270	3
4 0 4 0 26 	2915.81546919	0.09284270	4
4 0 4 0 28 	2959.01613493	0.07308270	3
4 0 4 0 29 	2981.79416965	0.09296337	4
4 0 4 0 31 	3029.70287714	0.09496337	2
4 0 4 0 32 	3054.83294506	0.09320270	4
4 0 4 0 33 	3080.74850543	0.09508337	4
4 0 4 0 34 	3107.44674734	0.09332270	4
4 0 4 0 35 	3134.93145886	0.07520337	1
4 0 4 0 36 	3163.19733553	0.09344270	4
4 0 4 0 38 	3222.08337064	0.09356270	3
4 0 4 0 39 	3252.70319130	0.07544337	3
4 0 4 0 40 	3284.10377718	0.07368270	3
4 0 4 0 41 	3316.29073040	0.07556337	1
4 0 4 0 43 	3383.01154016	0.07568337	1
4 0 4 0 44 	3417.54523671	0.07392270	2
4 0 4 0 49 	3601.96564717	0.07792337	2
4 0 4 0 50 	3641.19385852	0.07428270	2
0 0 1 0 50 	1156.55411464	0.06804337	17
4 0 4 0 51 	3681.20985546	0.07804337	2
4 0 4 0 52 	3722.00229353	0.07440270	1
4 0 4 0 53 	3763.58183627	0.07816337	1
4 0 4 0 54 	3805.93817101	0.07452270	2
0 0 1 0 54 	1322.32982626	0.06828337	12
4 0 4 0 55 	3849.08116626	0.07828337	1
